,0,1,2,3,4,5,6
0,Building materials,PCM,Maximum absorption rate (%),Melting temperature (degC),Latent heat (kJ$kg,-1),References
1,Gypsum,Xylitol pentalaurate,20,40.44,31.77,,[86]
2,Gypsum,Xylitol pentamyristate,22,52.58,43.89,,[86]
3,Cement,Xylitol pentalaurate,19,44.07,31.09,,[86]
4,Cement,Xylitol pentamyristate,25,54.59,46.37,,[86]
5,Perlite,Xylitol pentalaurate,71,41.88,120.09,,[86]
6,Perlite,Xylitol pentamyristate,66,52.63,126.08,,[86]
7,Diatomite,Xylitol pentalaurate,52,41.35,91.07,,[86]
8,Diatomite,Xylitol pentamyristate,50,53.10,97.01,,[86]
9,Vermiculite,Xylitol pentalaurate,40,42.62,73.16,,[86]
10,Vermiculite,Xylitol pentamyristate,41,53.30,76.80,,[86]
11,Perlite,Galactitol hexa myristate,67,43.83,121.13,,[87]
12,Diatomite,Galactitol hexa myristate,55,45.86,96.21,,[87]
13,Vermiculite,Galactitol hexa myristate,52,44.90,83.75,,[87]
14,Perlite,Galactitol hexa laurate,70,39.53,119.45,,[87]
15,Diatomite,Galactitol hexa laurate,51,39.03,63.08,,[87]
16,Vermiculite,Galactitol hexa laurate,39,39.48,61.38,,[87]
17,Bentonite clay.,Capric acid,40,29.31,69.30,,[88]
18,Bentonite clay.,PEG600,43,4,51.43,,[88]
19,Bentonite clay.,Dodecanol,32,22.17,59.21,,[88]
20,Bentonite clay.,Heptadecane,18,22.01,35.13,,[88]
