original_name,material_name,molecular_formula,index_use
Carbon nanosheets,Graphite,C6,material_name
Carbon nanosheets,Graphite,C6,material_name
N-doped carbon nanosheets,Graphite,C6,material_name
Porous carbon nanowhiskers,Graphite,C6,material_name
N-doped nanoporous carbon,Graphite,C6,material_name
Nanofibers/mesoporous carbon,Graphite,C6,material_name
N-doped carbon nanospheres,Graphite,C6,material_name
Nanoporous carbon,Graphite,C6,material_name
N-doped nanoporous carbon,Graphite,C6,material_name
Mesoporous carbon nanosheets,Graphite,C6,material_name
GO-activate carbon,Graphene Oxide,C7H2O,material_name
Porous carbon/CNTs,CNT,C6,material_name
Porous CNFs,,,
Porous CNTs,CNT,C6,material_name
Nanoporous carbon foams,Graphite,C6,material_name
Carbonization of carbon hydrates,Graphite,C6,material_name
Carbonized hollow nanocarbon,Graphite,C6,material_name
Graphene-coated CNTs,CNT,C6,material_name
Graphene/CNF,Graphene,C6,material_name
3D porous graphene-like carbon,Graphene,C6,material_name
Mesoporous graphene nanoballs,Graphene,C6,material_name
Graphene/CNT composite fibers,CNT,C6,material_name
N-doped 3D nanoporous carbon,Graphite,C6,material_name
Graphene/CNT,Graphene,C6,material_name
Graphene/carbon,Graphene,C6,material_name
RGO/CNT,Graphene Oxide,C7H2O,material_name
Carbonized PPy nanostructures,,,
Carbonized PPy-CNTs,,,
Halogen-containing nanoporous carbon,Graphite,C6,material_name
Oxygen-rich nanoporous carbon,Graphite,C6,material_name
CoCl2 nanostructures,,,
PANI nanotubes,,,
PPy-clay core–shell nanoarrays,,,
Polythiophene nanostructures,,,
NiO nanoblocks,,,
PPy–sepiolite nanocomposites,,,
ZnCo2O4 nanorods/Ni foams,,,
NiCo2(OH)6 nanotubes,,,
3D Co3O4 nanonetworks,,,
Ni2(CO3)(OH)2 nanosheets,,,
PPy–PANI double-wall,,,
PANI nanofibers,,,
PPy nanofibrils,,,
Hollow NiCo2S4 nanoplates,,,
α-F-2O3/MnO2 nanowires,,,
2D TiS2 nanocrystals,,,
CoAl/PEDOT nanoarrays,,,
Au-MnO2 core–shell,,,
CoO/PPy nanowires,,,
V2O5-PPy nanofibers,,,
CuO nanowires,,,
Nanoporous Ni(OH)2 films,,,
β-Co(OH)2 nanosheets,,,
Co3O4 nanostructures,,,
NiCo2O4 nanosheets,,,
NiO/graphene,,,
Porous carbon/ F-2O3 nanoparticles,,,
α-F-2O3/Graphene,,,
Ni graphene aerogels,,,
CoO carbon nanoflakes,,,
Faradaic CNTs,,,
Nanoporous CuO/active carbon,,,
Co(OH)2/graphene,,,
PANI/RGO,,,
PANI/CNF,,,
PANI/N-doped CNTs,,,
PPy/graphene,,,
Ni–Mn–RGO,,,
3D carbon/CoNi3O4 asymmetric,,,
N-doped carbon/PANI asymmetric,,,
WO3/PPy nanowire asymmetric,,,
Mn–Ni–Co oxide nanowire/RGO,,,
PEDOT/ROG/CNF asymmetric,,,
MnO2/GO asymmetric,,,
RGO/MnO2 asymmetric,,,
CNF/GO/PANI,,,
Ni/graphene/CNT,,,
Graphene/PANI nanorods,,,
3D CoMoO4/graphene,,,
Graphene/CNT/Mn,,,
PPy nanowire/RGO,,,
Porous graphene/PANI,,,
Porous graphene/PANI,,,
,,,
