,specific_price,specific_price_std,specific_price_rat,vol_price,num_SMs,num_source,sources,specific_prices,molecular_formula,mu,original_names,specific_price_element
unit_row,USD / kilogram,USD / kilogram,dimensionless,USD / meter ** 3,N/U,N/U,N/U,N/U,N/U,gram / mole,N/U,N/U
index,,,,,,,,,,,,
AQDS,5.913448828235992,2.9666772016845515,0.5,,5,2,"Alibaba, Li 2017","10.11, 5.91",C14H8O8S2,368.33,AQDS,
Activated Carbon,3.4726126559624513,23.678490584067934,6.82,,0,2,"Li 2017, Liu 2016","3.47, 36.96",C,12.011,"Activated Carbon, Active carbon",
Ag,718.8184801905409,74.8688478984328,0.1,,0,4,"DERA, Huang 2021, Kitco, USGS","718.82, 742.22, 795.08, 887.51",Ag,107.8682,"SILBER, Silver, Silver Bullion",521.0
Air,0.0,,,,1,1,Li 2017,0.0,O2,0.0,,
Al,1.6174342339266152,0.9238245944925371,0.57,,30,9,"Alibaba, DERA, Indiamart, Kale 2018, Kim 2013, Ray 2021, SMM, Steinmann 2022, USGS","1.62, 2.07, 2.55, 2.56, 2.83, 3.18, 3.71, 4.05, 4.41",Al,26.9815384,"ALUMINIUM, Al, Al-2024, Al-6061-T6, Al-7075-T6, Aluminium, Aluminium (Al), Aluminum Ingot, Aluminum Ingot - Chong Qing, Aluminum Ingot - Fo Shan, Aluminum Ingot - Hang Zhou, Aluminum Ingot - Lin Yi, Aluminum Ingot - Shen Yang, Aluminum Ingot - Tian Jin, Aluminum Ingot - Wu Xi, High purity aluminium(99.99%), High purity aluminium(99.996%), Low Carbon Aluminum, SMM A00 Aluminum Ingot, SMM Aluminum Ingot - Gong Yi",1.79
Al2O3,0.5533327642380526,2.669123131889081,4.82,,3,8,"Alibaba, DERA, Echemi, Indiamart, Liu 2016, SMM, Steinmann 2022, USGS","0.55, 0.63, 0.82, 1.15, 1.18, 1.21, 1.67, 8.51",Al2O3,101.9600768,"ALUMINIUMOXID, Activated Alumina, Al2O3, Alumina (Averaged), Alumina - Bayuquan, Alumina - Guangxi, Alumina - Guizhou, Alumina - Henan, Alumina - Lianyungang, Alumina - Shandong, Alumina - Shanxi, Australian Alumina FOB Price, Bauxite and Alumina Alumina",1.0198643
AlSc,403.3711741369571,,,,0,1,USGS,403.37,AlSc,71.9374464,Scandium Mtl_Alloy,2162.93108
Ammonium Heptamolybdate,22.603670305746252,4.927922923588611,0.22,,0,2,"ISE, SMM","22.6, 29.57","(NH4)6Mo7O24, H50Mo7N6O28 ",1163.86,"Ammonium heptamolybdate, Hexaammonium molybdate",
Ammonium Paratungstate,23.928101017565048,,,,0,1,ISE,23.93,(NH4)10(H2W12O42)(H2O)4,3132.504,Tungsten APT,
Ammonium Tetrathiomolybdate,22.25899345283499,4.875450869433565,0.22,,0,2,"ISE, SMM","22.26, 29.15","H10MoN2S4, H8N2MoS4",262.284,"Ammoinum Tetramolybdate, Ammonium Tetrathiomolybdate",
Antimony Ethylene Glycoxide,6.298078081299264,,,,0,1,ISE,6.3,,,Antimony ethelyene_glycol,
As,1.3608792985634377,0.23803975340046826,0.17,,0,3,"ISE, SMM, USGS","1.36, 1.53, 1.83",As,74.921595,"Arsenic Metal, Arsenic Mtl-CN, Arsenic metal",1.1545
As2O3,0.5110725750063565,0.14886101406044752,0.29,,0,2,"ISE, USGS","0.51, 0.72",As2O3,197.84019,"Arsenic Triox-CN, Arsenic Triox-MA, Arsenic trioxide",0.9117738
Asbestos,2.407405721626361,,,,0,1,USGS,2.41,Mg3Si2O5(OH)4,277.108,Asbestos Customs,
Au,56988.924488090845,2756.3904746659127,0.05,,1,3,"DERA, Kitco, USGS","56988.92, 60599.11, 62402.06",Au,196.96657,"GOLD, Gold ",44800.0
B,0.5071965863932519,121.9208617369413,240.38,,10,3,"Alibaba, Ray 2021, USGS","0.51, 234.1, 56.73",B,10.81,"Boron (B), Boron CIF",3.68
Ba,7.757463490891217,61.48121445355827,7.93,,12,2,"Alibaba, Kim 2013","7.76, 94.71",Ba,137.327,Ba,0.2605
Ba(OH)2,0.49757384722637193,0.45025612566827283,0.9,,0,2,"Alibaba, Indiamart","0.5, 1.13",Ba(OH)2,171.341,,0.2539008
BaCO3,0.43681365330715494,1.6298163063710183,3.73,,1,3,"Alibaba, Echemi, Indiamart","0.44, 0.59, 3.33",BaCO3,197.335,,0.2261665
BaO,2.1282029393771253,,,,2,1,Alibaba,2.13,BaO,153.326,,0.2493871
BaO2,10.641014696885627,,,,0,1,Alibaba,10.64,,,,0.2403743
Barite,0.2345255960538755,0.16955167528483045,0.72,,0,2,"Echemi, USGS","0.23, 0.47",BaSO4,233.383,Barite ,
Bauxite,0.03976944947748394,0.08321255545556558,2.09,,0,2,"SMM, USGS","0.04, 0.16",AlHO2,59.9875384,"Australia Bauxite CIF, Bauxite(4.5≤Al/Si<5.5)Henan, Bauxite(4.5≤Al/Si<5.5)Shanxi, Bauxite(5.5≤Al/Si<6.5)Guangxi, Bauxite(5.5≤Al/Si<6.5)Guizhou, Bauxite(6.0≤Al/Si<7.0)Henan, Bauxite(6.0≤Al/Si<7.0)Shanxi, Bauxite(6.5≤Al/Si<7.5)Guangxi, Bauxite(6.5≤Al/Si<7.5)Guizhou, Guinea Bauxite CIF, Indonesia Bauxite CIF, Malaysia Bauxite CIF, Bauxite and Alumina Bauxite",
Be,730.8285071434983,194.08762838066895,0.27,,0,2,"SMM, USGS","1005.31, 730.83",Be,9.0121831,"Beryllium, Beryllium Alloy",857.0
Bi,7.527642483578775,9.51890432400973,1.26,,7,5,"Alibaba, ISE, Indiamart, Kim 2013, USGS","10.03, 12.77, 30.46, 7.53, 8.3",Bi,208.9804,"Bi, Bismuth , Bismuth ingot",6.36
Bi2O3,7.721950046084415,,,,0,1,ISE,7.72,Bi2O3,465.9578,Bismuth oxides,5.7207374
Bipyridine,9.044862492352783,29.942584752658217,3.31,,3,2,"Alibaba, Echemi","51.39, 9.04",(C5H4N)2,156.188,,
Br2,2.8909397141432085,3.1318033485311445,1.08,,1,2,"Echemi, USGS","2.89, 7.32",Br2,159.808,Bromine Imports,4.39
C6H12O6Sc,52432.708676910835,,,,0,1,USGS,52432.71,C6H12O6Sc,225.111908,Scandium Cmpds_Acetate,691.1577074
CCoO3,17.16847289759726,,,,0,1,ISE,17.17,CCoO3,118.941194,Cobalt Carbonates,16.3262666
CFRP,12.069779357478003,22.747419393065954,1.88,,18,4,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022","12.07, 15.96, 37.87, 61.39",,,"AS4-3501–6, AS4–8552, IM7-8551–7, IM7–8552, T300-BSL914C, T300-PR319",
CNT,106.41014696885627,528.7205525672794,4.97,,4,3,"Alibaba, Cheaptubes, Graphene supermarket","1000.0, 1042.86, 106.41",,,"Multi-Walled Carbon Nanotube Powder, 100 grams",
CO2,0.04638815990944718,0.13108155308630048,2.83,,2,2,"Knighton 2020, Zhao 2019","0.05, 0.23",CO2,44.009,"Cyrogenic Carbon Capture, DAC Carbon Capture",0.1452665
CW,33.84370133326978,,,,0,1,ISE,33.84,CW,195.851,Tungsten carbide,33.1426306
Ca,4.485077834986018,2.3138998202210246,0.52,,16,5,"Alibaba, ISE, Indiamart, Kim 2013, SMM","4.49, 4.54, 4.79, 7.78, 9.55",Ca,40.078,"Ca, Calcium 98.5%, Calcium 99%, Calcium Granule, Calcium Ingot",2.28
Ca(NO3)2,0.3458329776487829,,,,1,1,Indiamart,0.35,Ca(NO3)2,164.086,,0.6708852
Ca(OH)2 ,0.08512811757508501,0.0033859501428930134,0.04,,0,2,"Alibaba, Indiamart",0.09,Ca(OH)2 ,74.092,,1.3376312
CaCO3,0.21303311423165014,4.095594920497761,19.23,,2,5,"Alibaba, Alva 2018, Chem Central, Echemi, Indiamart","0.21, 0.33, 0.37, 1.27, 9.66",CaCO3,100.086,"CALCIUM CARBONATE Technical Grade 50 LB BAG, CaCO3",1.0014859
CaCl2,0.10374989329463476,2.5497793284413794,24.58,,3,6,"Alibaba, Alva 2018, Echemi, Indiamart, Li 2017, Ray 2021","0.1, 0.12, 0.14, 0.15, 0.25, 6.4",CaCl2,110.978,CaCl2,0.8757739
CaF2,0.15128493927988118,4.989928756906116,32.98,,2,6,"Alibaba, Alva 2018, DERA, Indiamart, Ray 2021, USGS","0.15, 0.27, 0.34, 0.48, 0.69, 13.76, 3.04",CaF2,78.0748063,"CaF2, FLUSSSPAT, Fluorspar Acid, Fluorspar Metallurgical",2.1437319
CaO,0.18497413681952313,,,,1,1,USGS,0.18,CaO,56.077,"Lime Hydrated, Lime Quicklime",1.6734434
CaSO4,0.023573347455088257,16.106396943885144,683.25,,2,4,"Alibaba, Alva 2018, Indiamart, USGS","0.02, 0.43, 0.69, 32.59",CaSO4,136.134,"CaSO4, Gypsum Mine, Gypsum Plant",0.7654368
Carbon Black,1.6256810203167018,3.631681434214057,2.23,,0,2,"Echemi, Schnell 2020","1.63, 6.76",C,12.011,Carbon Black,
Cd,2.864207542061962,8.490190237733804,2.96,,6,6,"Alibaba, ISE, Indiamart, Kim 2013, SMM, USGS","2.86, 24.47, 3.29, 3.31, 4.51, 4.84",Cd,112.414,"Cadmium Ingot, Cadmium Metal, Cd",2.73
Cd(OH)2,4.225651975176969,13.941763547883506,3.3,,2,2,"Alibaba, Li 2017","23.94, 4.23",Cd(OH)2,146.428,Cd(OH)2,2.1486338
CdCO3,0.5320507348442813,15.58740959114963,29.3,,1,2,"Alibaba, Indiamart","0.53, 22.58",CdCO3,172.422,,1.831246
CdSO4 ,10.641014696885627,,,,0,1,Alibaba,10.64,CdSO4 ,208.47,,1.5336229
CeO2,1.4897420575639877,3.952000388265047,2.65,,1,4,"Alibaba, DERA, Indiamart, USGS","1.49, 10.2, 2.37, 3.62",CeO2,172.114,"Cerium (oxide), Rare Earths CeO2",3.8060003
Celestite,0.10668820876901251,,,,0,1,USGS,0.11,SrSO4,183.676,Strontium ,
Cement,0.15942515329823329,,,,0,1,USGS,0.16,CaAl2O6Si,218.1200768,Cement Avg,
Cl2Mg,0.2525536477063601,,,,0,1,Liu 2016,0.25,Cl2Mg,95.205,MgCl2,0.6533417
ClK,0.4419688834861301,,,,0,1,Liu 2016,0.44,ClK,74.5483,KCl,6.7784249
ClLi,9.849592260548043,1.2710343497598173,0.13,,1,2,"ISE, Liu 2016","11.65, 9.85",ClLi,42.39,"LiCl, Lithium chlorides",13.7390163
ClNa,0.15153218862381604,,,,0,1,Liu 2016,0.15,ClNa,58.4397693,NaCl,1.2299194
Clay,0.09404033756298803,1.6841626445510995,17.91,,1,3,"Alibaba, Indiamart, USGS","0.09, 0.16, 3.04",Al2O5Si,162.0430768,"Clays Ball, Clays Bentonite, Clays Common, Clays Fire, Clays Fullers, Clays Kaolin",
Co,15.96152204532844,20.347153774301862,1.27,,1,4,"Alibaba, DERA, ISE, USGS","15.96, 33.16, 54.53, 60.25",Co,58.933194,"Cobalt Conc., Cobalt Intermediate, Cobalt Powder, Cobalt metal, Cobalt LME, Cobalt Spot, KOBALT",32.8
Co3O4,18.621775719549845,5.489858001513925,0.29,,3,2,"Alibaba, ISE","18.62, 26.39",Co3O4,240.795582,"Cobalt Tetroxide, Cobalt oxides",24.1237054
CoCl2,7.592399091024664,10.887672130268173,1.43,,1,3,"Alibaba, ISE, Indiamart","24.9, 27.69, 7.59",CoCl2,129.833194,Cobalt Chloride,14.9331808
CoO,37.55789155860667,4.11688996054235,0.11,,1,3,"Alibaba, ISE, Indiamart","37.56, 38.13, 44.96",CoO,74.932194,Cobalt Monoxide,25.8296535
CoSO4,6.384247294527079,8.500600195335405,1.33,,1,3,"Alibaba, ISE, Indiamart","22.03, 6.38, 8.44",CoSO4,154.989194,Cobalt sulphates,12.5546359
Concrete,0.029608623394084255,0.03248631053764651,1.1,,2,2,"Concrete Network, Steinmann 2022","0.03, 0.08",,,Concrete,
Cr,9.798330949656751,2.7502452991758997,0.28,,2,5,"Alibaba, ISE, Indiamart, Ray 2021, USGS","11.07, 12.29, 13.24, 17.03, 9.8",Cr,51.9961,"Chromium (Cr), Chromium Metal, Chromium metal",9.4
Cr2O3,4.043585584816538,2.3103466475007215,0.57,,1,2,"Alibaba, Indiamart","4.04, 7.31",Cr2O3,151.9892,,6.4801856
CrCl3,4.228783679683466,,,,0,1,Li 2017,4.23,CrCl3,158.3461,CrCl3 6H2O,3.1417511
CrFeO4,0.14616351497671218,0.11463572525665097,0.78,,0,2,"ISE, USGS","0.15, 0.31",CrFeO4,171.8371,"Chrome Conc., Chrome lump, Chromium Ore",3.0394892
Cs,117287.72483220867,,,,0,1,SMM,117287.72,Cs,132.905452,Cesium(Cs≥99.5%),61800.0
Cs2CO3,150.79381926956623,,,,0,1,SMM,150.79,Cs2CO3,325.8189039,Cesium Carbonate(Cs2CO3≥99%),50417.9546414
Cu,6.650634185553517,1.852222348918216,0.28,,7,6,"Alibaba, DERA, Indiamart, Ray 2021, SMM, USGS","12.12, 6.65, 7.88, 8.12, 8.19, 8.9",Cu,63.546,"Copper (Cu), Copper COMEX, Copper LME, Copper US, Guixi Copper, High-Grade Copper, Low-Quality Copper, SMM Copper Cathode, SMM bonded copper spot price, Standard-Grade Copper, KUPFER",6.0
CuCl,5.605456701765367,,,,0,1,Li 2017,5.61,CuCl,98.996,CuCl,3.8807922
CuO,8.991657418868353,2.2949217635164314,0.26,,2,2,"Alibaba, Indiamart","12.24, 8.99",CuO,79.545,,4.8241856
CuSO4,1.596152204532844,0.9311244095295679,0.58,,1,3,"Alibaba, Indiamart, Li 2017","1.6, 1.85, 3.32",CuSO4,159.602,,2.4692682
Diamond,25360.443466923934,,,,0,1,USGS,25360.44,C,12.011,"Diamond (Industrial) Bort_Imports, Diamond (Industrial) Stones_Imports",
Diatomite,0.44225543620300267,,,,0,1,USGS,0.44,SiO2,60.083,Diatomite ,
Dibenzyltoluene,4.500085115312932,,,,1,1,Southhall 2022,4.5,C21H20,272.391,dibenzyltoluene,
Dy,524.6871526740365,,,,0,1,DERA,524.69,,,Dysprosium (metal),307.0
Dy2O3,298.129826792715,76.68011793347661,0.26,,0,2,"DERA, USGS","298.13, 406.57",Dy2O3,372.997,"Dysprosium (oxide), Rare Earths Dy2O3",267.5152656
Er2O3,56.90814659894433,,,,0,1,DERA,56.91,,,Erbium (oxide),23.1067193
Ethanol,0.480351859072872,0.24210903330422925,0.5,,1,4,"Antunez 2018, Chemanalyst, Echemi, Huang 2021","0.48, 0.6, 0.88, 1.01",C2H6O,46.069,Ethanol,
Ethyl cellulose,22.873898051089142,,,,0,1,Huang 2021,22.87,,,Ethyl cellulose,
Ethylene glycol,0.5854686286226473,0.20840886176849027,0.36,,1,3,"Antunez 2018, Chemanalyst, Echemi","0.59, 0.92, 0.97",C2H6O2,62.068,Ethylene glycol,
Eu2O3,31.667659737931626,16.05095670278518,0.51,,0,2,"DERA, USGS","31.67, 54.37",Eu2O3,351.925,"Europium (oxide), Rare Earths Eu2O3",27.1385401
