,material_name,specific_price,molecular_formula,source,specific_energy,energy_type,molecular_formula_norm,index_name
0,alumina,0.5335186744874038,Al2O3,USGS,,,Al2O3,Al2O3
1,aluminum,2.3906927711328128,Al,USGS,,,Al,Al
2,ammonia,0.3291501574420222,H3N,USGS,,,H3N,H3N
3,antimony,8.152694455596773,Sb,USGS,,,Sb,Sb
4,arsenic,1.542,As,USGS,,,As,As
5,arsenic trioxide,0.609,As2O3,USGS,,,As2O3,As2O3
6,asbestos,2.0326620573445715,,USGS,,,,asbestos
7,ball clay,0.0621703579361354,,USGS,,,,ball clay
8,barite,0.1977546491798352,BaO4S,USGS,,,BaO4S,BaO4S
9,bauxite,0.0335102638521013,AlHO2,USGS,,,AlHO2,AlHO2
10,bentonite,0.1069241971596656,C6H12N4O9,USGS,,,C6H12N4O9,C6H12N4O9
11,beryllium,616.0,Be,USGS,,,Be,Be
12,bismuth,8.421658415462323,Bi,USGS,,,Bi,Bi
13,boron,0.4274763263764776,B,USGS,,,B,B
14,bromine,2.442,br2,USGS,,,br2,br2
15,cadmium,2.418,Cd,USGS,,,Cd,Cd
16,cement,0.1344819799327753,,USGS,,,,cement
17,chromite,0.2590431580672311,CrFeO4,USGS,,,CrFeO4,CrFeO4
18,chromium,10.32711374752622,Cr,USGS,,,Cr,Cr
19,cobalt,50.56522445472352,Co,USGS,,,Co,Co
20,common clay,0.0176369809747902,,USGS,,,,common clay
21,copper,6.868575265790589,Cu,USGS,,,Cu,Cu
22,diamond,21410.0,CH4,USGS,,,CH4,CH4
23,diatomite,0.3725812230924431,O2Si,USGS,,,O2Si,O2Si
24,feldspar,0.1067037348974807,AlKO8Si3,USGS,,,AlKO8Si3,AlKO8Si3
25,ferrosilicon,2.260730267574827,FeSi2,USGS,,,FeSi2,FeSi2
26,ferrrochromium,2.5282612227361763,,USGS,,,,ferrrochromium
27,fire clay,0.014330047042017,,USGS,,,,fire clay
28,fluorspar,0.2847270116117694,CaF2,USGS,,,CaF2,CaF2
29,fullers clay,0.0983261689344554,,USGS,,,,fullers clay
30,gallium,236.69626852115405,Ga,USGS,,,Ga,Ga
31,germanium,1221.4,Ge,USGS,,,Ge,Ge
