display_text,SM_name,x,y,fix,ha,va
Al(BH_{4})_{3},Al(BH4)3,0.5686420985849777,0.5797185668763698,,right,top
Ammonia\ (Feedstock),Ammonia (Feedstock),0.6,0.15,y,left,center
CH_{4}\ (Feedstock),CH4 (Feedstock),0.65,0.05,y,right,top
CH_{4}\ (LRC),CH4 (LRC),0.7885532516564707,0.282432242849412,,left,bottom
CH_{4}\ (Salt),CH4 (Salt),0.7881949915458257,0.04731680795225651,,left,top
CH_{4}\ Spherical\ Pressure,CH4 Spherical Pressure,0.8105311684591009,0.601,y,center,bottom
Ca(BH_{4})_{2},Ca(BH4)2,0.89,0.55,y,center,bottom
Dibenzyltoluene,,0.6355686233558321,0.5001575487474814,,left,top
Fossil\ CH_{4},Fossil CH4,0.7912565887652504,0.07913992215768677,,left,bottom
H_{2}\ (LRC),H2 (LRC),0.8592490832820322,0.39277972925348015,,left,top
H_{2}\ (Salt),H2 (Salt),0.8523430511104108,0.195220602377023,,left,bottom
H_{2}\ Spherical\ Pressure,H2 Spherical Pressure,0.8204649276114443,0.7685338645673618,y,center,bottom
K_{2}LiAlH_{6},K2LiAlH6,0.6,0.93,y,center,top
KBH_{4},KBH4,0.5614722794445013,0.7851146262434413,,left,bottom
KClLiAlH,KClLiAlH,0.6,0.9,y,left,center
LH_{2}\ Tank,LH2 Tank,0.840520742260532,0.42817258917514067,,left,bottom
LNG\ Tank,LNG Tank,0.8065338770434303,0.2506086037854023,,left,bottom
LaNi_{4.8}Sn_{0.2}H_{6},LaNi4.8Sn0.2H6,0.2581538477988571,0.794750306687747,,right,top
LaNi_{5}H_{6.5},LaNi5H6.5,0.3728919100159229,0.7976950911458455,,left,top
Li_{2}MgN_{2}H_{6},Li2MgN2H6,0.6345879018480377,0.4193409065055035,,left,bottom
LiBH_{4},LiBH4,0.6995758388716182,0.6723610136490071,,left,bottom
Methanol\ (Feedstock),Methanol (Feedstock),0.3635657538503893,0.2040663294639854,y,left,bottom
Mg(BH_{4})_{2},Mg(BH4)2,0.8,0.53,y,center,bottom
Mg_{2}NiH_{4},Mg2NiH4,0.5183081708597291,0.706367422084929,,left,bottom
MgH_{2},MgH2,0.544097096333482,0.48360463013448096,,left,center
NEC,NEC,0.5305356000716701,0.7427060814156122,,left,bottom
Na_{2}LiAlH_{6},Na2LiAlH6,0.55,0.6461240506619691,y,left,top
Na_{3}AlH_{6},Na3AlH6,0.38821893667402907,0.5535124389789081,,right,bottom
NaAlH_{4},NaAlH4,0.5111879838583829,0.5268199074310034,,left,bottom
NaBH_{4},NaBH4,0.49639878316360864,0.6025621348283688,,right,center
Naphthalene,Naphthalene,0.604551756807305,0.34700396093187125,,left,top
Ti_{12}Mn_{18}H_{30},Ti12Mn18H30,0.1,0.6224930981368444,y,left,top
TiFeH_{2},TiFeH2,0.25,0.65,y,left,bottom
TiMn_{1.4}V_{0.62}H_{3.4},TiMn1.4V0.62H3.4,0.4,0.95,y,left,center
Toluene,Toluene,0.5838677773579967,0.38207291462488446,,left,bottom
Zn(BH_{4})_{2},Zn(BH4)2,0.8105311684591009,0.64,y,center,bottom
Zr(BH_{4})_{4},Zr(BH4)4,0.5,0.62,y,center,center
ZrMn_{2}H_{3.6},ZrMn2H3.6,0.3563439655007483,0.6788245679825713,,center,bottom
ZrNiH_{3},ZrNiH3,0.38844919046467463,0.7590572881986399,,left,top
AQDS/FeSO_{4},AQDS/FeSO4,0.1,0.97,y,left,center
AQDS/HBr/Br_{2}\ ,AQDS/HBr/Br2 ,0.3,0.98,y,left,center
Cu/Cu,Cu/Cu,0.15,0.8274315253877029,y,right,top
DBEAQ/K_{4}[Fe(CN)_{6}],DBEAQ/K4[Fe(CN)6],0.5150101496424,0.84,y,left,center
DHPS/K_{4}[Fe(CN)_{6}],DHPS/K4[Fe(CN)6],0.5150101496424,0.82,y,left,center
DPPEAQ/K_{4}[Fe(CN)_{6}],DPPEAQ/K4[Fe(CN)6],0.5150101496424,0.86,y,left,center
FeCl_{2},FeCl2,0.19320880291876427,0.6837577349466707,,right,bottom
H_{2}/Br_{2},H2/Br2,0.15,0.6530141610014596,y,right,center
ICB,ICB,0.3139679862322813,0.7374026301483787,,left,bottom
PSB,PSB,0.3277425738886822,0.6125541729141208,,left,top
"S/Air(Li,\ Acid)","S/Air(Li, Acid)",0.5930708067499607,0.6700894254733952,,center,bottom
"S/Air(Li,\ Base)","S/Air(Li, Base)",0.24075749211731187,0.7227491585314234,,right,top
"S/Air(Na,\ Acid)","S/Air(Na, Acid)",0.4260818260831142,0.45180368826030626,,left,top
"S/Air(Na,\ Base)","S/Air(Na, Base)",0.3381781142097239,0.5083953319516246,,right,top
V/Br,V/Br,0.13128799957976264,0.8573122119292627,,right,bottom
VRFB,VRFB,0.3,0.9,y,left,top
