,material_name,commodity,commodity_info,Specification,price_per_kg
0,Antimony,Antimony,Ingot,99.65% min EXW China,5.5165
1,Antimony,Antimony,Ingot,99.85% min EXW China,5.5895
2,Antimony,Antimony,Ingot,99.65% min FOB China,6.1000000000000005
4,Antimony,Antimony,Ingot,99.65% min in the warehouse Rotterdam,6.15
5,Antimony,Antimony,Ingot,99.65% min in the Baltimore warehouse,6.459544282016912
6,Antimony Trioxide,Antimony,Trioxide,99.5% min delivered in China,5.0815
7,Antimony Trioxide,Antimony,Trioxide,99.8% min delivered in China,5.2265
8,Antimony Trioxide,Antimony,Trioxide,99.5% min FOB China,5.3
10,Antimony Trioxide,Antimony,Trioxide,99.5% min in the Baltimore warehouse,5.908388626554718
11,antimony ethylene glycoxide,Antimony,ethelyene_glycol,57% min delivered in China,5.299
12,Arsenic,Arsenic,metal,99% min EXW China,1.125
13,Arsenic,Arsenic,metal,99% min FOB China,1.165
14,Arsenic Trioxide,Arsenic,trioxide,99% min EXW China,0.45
15,Arsenic Trioxide,Arsenic,trioxide,99% min FOB China,0.41000000000000003
16,Bismuth,Bismuth,ingot,99.99% min EXW China,5.9885
17,Bismuth,Bismuth,ingot,99.99% min FOB China,6.228058906722792
19,Bismuth,Bismuth,ingot,99.99% min delivered in Europe,6.448521168907669
20,Bismuth,Bismuth,ingot,99.99% min delivered in US,6.668983431092547
21,Bismuth oxide,Bismuth,oxides,99.9% min EXW China,6.497
22,Cadmium,Cadmium,Ingot,99.99% min EXW China,2.7655
24,Cadmium,Cadmium,Ingot,99.99% min in the warehouse Rotterdam,2.7888476166387015
25,Cadmium,Cadmium,Ingot,99.99% min in the Baltimore warehouse,2.799870729747945
26,Cadmium,Calcium,Ingot,Reductive 98% min EXW China,2.0685000000000002
27,Calcium,Calcium,Granule,Reductive 98% min EXW China,2.5260000000000002
28,Calcium,Calcium,Granule,Reductive 98% min FOB China,2.66
29,Calcium,Calcium,Granule,Electrolytic 98.5% min EXW China,5.4735000000000005
30,Calcium,Calcium,Granule,Electrolytic 98.5% min FOB China,6.140000000000001
31,Chromite,Chrome,Conc.,SA 42% min CIF China,0.165
32,Chromite,Chrome,lump,Turkish 40% min in the port of China,0.005735
33,Chromite,Chrome,lump,Turkish 40% min CIF China,0.1975
34,Chromite,Chrome,Conc.,SA 40% min in the port of China,0.00399
35,Chromite,Chrome,Conc.,SA 40% min CIF China,0.145
36,Chromite,Chrome,Conc.,46% min FOB Turkey,0.1925
37,Chromite,Chrome,lump,40% min FOB Turkey,0.1775
38,Chromite,Chrome,Conc.,42% min FOB SA,0.1295
39,Chromite,Chrome,Conc.,40% min FOB SA,0.1125
40,Chromite,Chrome,Conc.,Turkish 46% min CIF China,0.2175
