display_text,SM_name,x,y,fix,ha,va
Ba(OH)_{2}/BaO,Ba(OH)2/BaO,0.4587474048206684,0.4943825894535365,y,left,bottom
BaCO_{3}/BaO,BaCO3/BaO,0.825162910483348,0.3980080154961524,y,left,bottom
BaO_{2}/BaO,BaO2/BaO,0.5722309832512551,0.6361409091199071,y,left,center
Ca(OH)_{2}/CaO,Ca(OH)2/CaO,0.3553406434231126,0.0877601730171356,y,left,top
CaCO_{3}/CaO,CaCO3/CaO,0.3571166187065774,0.2401745158939981,y,right,top
Cd(OH)_{2}/CdO,Cd(OH)2/CdO,0.2,0.88,y,left,bottom
CdCO_{3}/CdO,CdCO3/CdO,0.2310400158459303,0.7916724665001592,y,left,top
Co_{3}O_{4}/CoO,,0.6316623398422752,0.8574975109429505,y,center,bottom
CoSO_{4}/CoO,CoSO4/CoO,0.5848079014554723,0.591130197766527,y,left,top
Cr_{5}O_{12}/Cr_{2}O_{3},,0.14732689469811167,0.8203430587414021,y,left,bottom
CuO/Cu_{2}O,CuO/Cu2O,0.6305334025389091,0.7623579502342392,y,left,bottom
CuSO_{4}/CuO,CuSO4/CuO,0.5,0.4450235338082077,y,left,bottom
Fe_{2}O_{3}/Fe_{3}O_{4},,0.7720923097070573,0.27946026744671,y,left,bottom
FeSO_{4}/FeO,FeSO4/FeO,0.4341109687244875,0.1268976770389876,y,right,bottom
Mg(OH)_{2}/MgO,Mg(OH)2/MgO,0.2358463083026481,0.3743608265201004,y,left,bottom
MgCO_{3}/MgO,MgCO3/MgO,0.2408867202503368,0.3254066308833531,y,left,top
MgO_{2}/MgO,MgO2/MgO,0.1990414887319949,0.5232848194075078,y,left,bottom
MgSO_{4}/MgO,MgSO4/MgO,0.5,0.1276387227368056,y,left,bottom
Mn(OH)_{2}/MnO,Mn(OH)2/MnO,0.2142360852861672,0.46,y,left,top
Mn_{2}O_{3}/Mn_{3}O_{4},,0.5586264256368669,0.6752274548922663,y,left,bottom
Mn_{3}O_{4}/MnO,,0.88,0.43,y,right,bottom
MnSO_{4}/MnO,MnSO4/MnO,0.5457414225096024,0.2826843493157095,y,center,bottom
Ni(OH)_{2}/NiO,Ni(OH)2/NiO,0.1,0.926350405923942,y,left,bottom
NiSO_{4}/NiO,NiSO4/NiO,0.4652917500516345,0.5738014531574264,y,right,top
PbCO_{3}/PbO,PbCO3/PbO,0.2121015953855764,0.6586853427393484,y,left,top
PbO_{2}/PbO,PbO2/PbO,0.2204297114263655,0.7210084777696298,y,left,bottom
SrCO_{3}/SrO,SrCO3/SrO,0.7604640135756091,0.5259201335392156,y,left,bottom
V_{2}O_{5}/V_{2}O_{4},,0.781928047244258,0.8110064770949539,y,right,bottom
Zn(OH)_{2}/ZnO,Zn(OH)2/ZnO,0.2205291986084088,0.6727323405303094,y,left,bottom
ZnCO_{3}/ZnO,ZnCO3/ZnO,0.1112001445275452,0.5901286538908131,y,left,top
ZnSO_{4}/ZnO,ZnSO4/ZnO,0.5737364755400676,0.3603551924621854,y,left,bottom
